,chr,pos,strand,Type,Islands_Name,Relation_to_Island,UCSC_RefGene_Name,UCSC_RefGene_Group,Correlation with Age
cg13654344,chrY,2654978,+,II,chrY:2657802-2658099,N_Shelf,SRY;SRY,3'UTR;1stExon,-0.048459440801833
cg15563434,chrY,2657879,+,I,chrY:2657802-2658099,Island,,,0.128886097296891
cg07939587,chrY,2657936,+,I,chrY:2657802-2658099,Island,,,0.122483554812506
cg03767353,chrY,2658057,-,I,chrY:2657802-2658099,Island,,,0.127724203195482
cg14526044,chrY,2802103,-,II,chrY:2802964-2804283,N_Shore,ZFY;ZFY;ZFY,TSS1500;TSS1500;TSS1500,-0.065367675210818
cg14170959,chrY,2802217,+,II,chrY:2802964-2804283,N_Shore,ZFY;ZFY;ZFY,TSS1500;TSS1500;TSS1500,0.164638889451776
cg13805219,chrY,6137453,-,II,chrY:6133645-6133958,S_Shelf,,,0.010440562824677
cg07765982,chrY,6263841,+,II,,OpenSea,TTTY1;LOC100101116,Body;Body,-0.086811358707898
cg05530472,chrY,6742689,-,II,,OpenSea,AMELY,TSS1500,-0.093791619234564
cg17972491,chrY,6742726,-,II,,OpenSea,AMELY,TSS1500,-0.136040175347051
cg09728865,chrY,6780027,+,II,chrY:6778574-6780028,Island,TBL1Y;TBL1Y;TBL1Y,5'UTR;5'UTR;5'UTR,0.221898153172556
cg08921682,chrY,6891543,+,I,,OpenSea,TBL1Y;TBL1Y;TBL1Y,5'UTR;5'UTR;5'UTR,0.05846801073443
cg15700967,chrY,6954228,+,II,,OpenSea,TBL1Y;TBL1Y;TBL1Y,Body;Body;Body,-0.104819845447468
cg04831594,chrY,8501021,-,II,,OpenSea,,,0.07668922454901
cg01828798,chrY,8571457,-,II,,OpenSea,TTTY19,TSS1500,-0.073405435996527
cg05202434,chrY,8571846,+,II,,OpenSea,TTTY19,TSS1500,-0.016485880107053
cg01061520,chrY,9478342,-,II,chrY:9478175-9478445,Island,,,0.139158961569038
cg18163559,chrY,9742930,+,II,chrY:9745559-9745993,N_Shelf,,,0.042550274659678
cg14210405,chrY,9930240,-,I,chrY:9930123-9930391,Island,,,-0.013607655012695
cg14720093,chrY,10033382,+,II,chrY:10032933-10034686,Island,,,0.18831932322959
cg04864270,chrY,13477005,+,II,chrY:13477252-13478448,N_Shore,,,0.166967924793284
cg01141334,chrY,13477785,+,II,chrY:13477252-13478448,Island,,,0.121031598884318
cg03441493,chrY,14074417,+,II,chrY:14074239-14075008,Island,,,0.131269783605985
cg03695421,chrY,14074773,-,I,chrY:14074239-14075008,Island,,,0.200038153619297
cg02582450,chrY,14075806,+,II,chrY:14075675-14076160,Island,,,0.126440414026045
cg17651935,chrY,14078666,+,II,chrY:14077836-14078044,S_Shore,,,-0.09386453024479
cg00639218,chrY,14096487,+,II,chrY:14100002-14100593,N_Shelf,,,0.008047028039887
cg02107461,chrY,14103651,+,II,chrY:14107137-14107480,N_Shelf,,,0.032896976378993
cg26488634,chrY,14108207,-,II,chrY:14107137-14107480,S_Shore,,,-0.023724638903147
cg14303457,chrY,14537211,+,II,chrY:14532115-14533600,S_Shelf,,,-0.067639137332117
cg17430262,chrY,14649051,-,II,chrY:14649050-14649669,Island,,,0.220954427025352
cg05608794,chrY,14649668,+,II,chrY:14649050-14649669,Island,,,-0.026394205473109
cg05128824,chrY,15015176,+,II,chrY:15016544-15017298,N_Shore,DDX3Y,TSS1500,-0.0773923572785
cg17816615,chrY,15019332,+,II,chrY:15016544-15017298,S_Shelf,DDX3Y;DDX3Y,Body;Body,-0.284515907938766
cg07950979,chrY,15451782,+,II,,OpenSea,UTY;UTY;UTY,Body;Body;Body,0.126520574160185
cg27254225,chrY,15811945,+,II,chrY:15815488-15815779,N_Shelf,,,-0.155202209201253
cg26198148,chrY,15814685,+,II,chrY:15815488-15815779,N_Shore,TMSB4Y,TSS1500,0.086685152913624
